Number,Rope replicate,Depth,Date,Time period,Time,conc,,Day,,DepthT,Temp,Average,DepthL,Lux,,,,
1,1,3.0m,21/06/2019,,00:00:00,,,2,AM,3m= 16.85,14.134,,3m= 24.96,0,,,,
2,1,3.0m,21/06/2019,,01:00:00,,,2,AM,3m= 16.85,14.23,,3m= 24.96,0,,,,
3,1,3.0m,21/06/2019,,02:00:00,,,2,AM,3m= 16.85,14.134,,3m= 24.96,0,,,,
4,1,3.0m,21/06/2019,,03:00:00,,,2,AM,3m= 16.85,14.325,,3m= 24.96,0,,,,
5,1,3.0m,21/06/2019,,04:00:00,,,2,AM,3m= 16.85,14.517,,3m= 24.96,0,,,,
6,1,3.0m,21/06/2019,,05:00:00,,,2,AM,3m= 16.85,14.517,,3m= 24.96,0,,,,
7,1,3.0m,21/06/2019,,06:00:00,,,2,AM,3m= 16.85,14.517,,3m= 24.96,0,,,,
8,1,3.0m,21/06/2019,,07:00:00,,,2,AM,3m= 16.85,14.421,,3m= 24.96,6,,,,
9,1,3.0m,21/06/2019,,08:00:00,,,2,AM,3m= 16.85,14.421,,3m= 24.96,19,,,,
10,1,3.0m,21/06/2019,,09:00:00,,,2,AM,3m= 16.85,14.325,,3m= 24.96,19,,,,
11,1,3.0m,21/06/2019,,10:00:00,,,2,AM,3m= 16.85,14.23,,3m= 24.96,28,,,,
12,1,3.0m,21/06/2019,,11:00:00,,,2,AM,3m= 16.85,14.134,,3m= 24.96,32,,,,
13,1,3.0m,21/06/2019,,12:00:00,,,2,PM,3m= 16.85,14.134,,3m= 24.96,44,,,,
14,1,3.0m,21/06/2019,,13:00:00,,,2,PM,3m= 16.85,14.134,,3m= 24.96,40,,,,
16,1,3.0m,21/06/2019,,15:00:00,,,2,PM,3m= 16.85,14.421,,3m= 24.96,51,,,,
17,1,3.0m,21/06/2019,,16:00:00,,,2,PM,3m= 16.85,14.804,,3m= 24.96,25,,,,
18,1,3.0m,21/06/2019,,17:00:00,,,2,PM,3m= 16.85,14.9,,3m= 24.96,16,,,,
19,1,3.0m,21/06/2019,,18:00:00,,,2,PM,3m= 16.85,15.091,,3m= 24.96,14,,,,
20,1,3.0m,21/06/2019,,19:00:00,,,2,PM,3m= 16.85,14.996,,3m= 24.96,7,,,,
21,1,3.0m,21/06/2019,,20:00:00,,,2,PM,3m= 16.85,14.709,,3m= 24.96,2,,,,
22,1,3.0m,21/06/2019,,21:00:00,,,2,PM,3m= 16.85,14.613,,3m= 24.96,0,,,,
23,1,3.0m,21/06/2019,,22:00:00,,,2,PM,3m= 16.85,14.517,,3m= 24.96,0,,,,
24,1,3.0m,21/06/2019,,23:00:00,,,2,PM,3m= 16.85,14.421,,3m= 24.96,0,,,,
25,1,3.0m,22/06/2019,,00:00:00,,,3,AM,3m= 16.85,14.325,,3m= 24.96,0,,,,
26,1,3.0m,22/06/2019,,01:00:00,,,3,AM,3m= 16.85,14.325,,3m= 24.96,0,,,,
27,1,3.0m,22/06/2019,,02:00:00,,,3,AM,3m= 16.85,14.23,,3m= 24.96,0,,,,
28,1,3.0m,22/06/2019,,03:00:00,,,3,AM,3m= 16.85,14.325,,3m= 24.96,0,,,,
29,1,3.0m,22/06/2019,,04:00:00,,,3,AM,3m= 16.85,14.517,,3m= 24.96,0,,,,
30,1,3.0m,22/06/2019,,05:00:00,,,3,AM,3m= 16.85,14.613,,3m= 24.96,0,,,,
31,1,3.0m,22/06/2019,,06:00:00,,,3,AM,3m= 16.85,14.613,,3m= 24.96,1,,,,
32,1,3.0m,22/06/2019,,07:00:00,,,3,AM,3m= 16.85,14.613,,3m= 24.96,31,,,,
33,1,3.0m,22/06/2019,,08:00:00,,,3,AM,3m= 16.85,14.613,,3m= 24.96,39,,,,
34,1,3.0m,22/06/2019,,09:00:00,,,3,AM,3m= 16.85,14.517,,3m= 24.96,31,,,,
35,1,3.0m,22/06/2019,,10:00:00,,,3,AM,3m= 16.85,14.421,,3m= 24.96,25,,,,
36,1,3.0m,22/06/2019,,11:00:00,,,3,AM,3m= 16.85,14.421,,3m= 24.96,22,,,,
37,1,3.0m,22/06/2019,,12:00:00,,,3,PM,3m= 16.85,14.421,,3m= 24.96,29,,,,
38,1,3.0m,22/06/2019,,13:00:00,,,3,PM,3m= 16.85,14.517,,3m= 24.96,200,,,,
39,1,3.0m,22/06/2019,,14:00:00,,,3,PM,3m= 16.85,14.517,,3m= 24.96,71,,,,
40,1,3.0m,22/06/2019,,15:00:00,,,3,PM,3m= 16.85,14.709,,3m= 24.96,160,,,,
41,1,3.0m,22/06/2019,,16:00:00,,,3,PM,3m= 16.85,14.709,,3m= 24.96,34,,,,
42,1,3.0m,22/06/2019,,17:00:00,,,3,PM,3m= 16.85,14.996,,3m= 24.96,11,,,,
43,1,3.0m,22/06/2019,,18:00:00,,,3,PM,3m= 16.85,14.996,,3m= 24.96,10,,,,
44,1,3.0m,22/06/2019,,19:00:00,,,3,PM,3m= 16.85,15.091,,3m= 24.96,10,,,,
45,1,3.0m,22/06/2019,,20:00:00,,,3,PM,3m= 16.85,14.996,,3m= 24.96,3,,,,
46,1,3.0m,22/06/2019,,21:00:00,,,3,PM,3m= 16.85,14.804,,3m= 24.96,0,,,,
47,1,3.0m,22/06/2019,,22:00:00,,,3,PM,3m= 16.85,14.804,,3m= 24.96,0,,,,
48,1,3.0m,22/06/2019,,23:00:00,,,3,PM,3m= 16.85,14.613,,3m= 24.96,0,,,,
49,1,3.0m,23/06/2019,,00:00:00,,,4,AM,3m= 16.85,14.421,,3m= 24.96,0,,,,
50,1,3.0m,23/06/2019,,01:00:00,,,4,AM,3m= 16.85,14.325,,3m= 24.96,0,,,,
51,1,3.0m,23/06/2019,,02:00:00,,,4,AM,3m= 16.85,14.421,,3m= 24.96,0,,,,
52,1,3.0m,23/06/2019,,03:00:00,,,4,AM,3m= 16.85,14.421,,3m= 24.96,0,,,,
53,1,3.0m,23/06/2019,,04:00:00,,,4,AM,3m= 16.85,14.517,,3m= 24.96,0,,,,
54,1,3.0m,23/06/2019,,05:00:00,,,4,AM,3m= 16.85,14.804,,3m= 24.96,0,,,,
55,1,3.0m,23/06/2019,,06:00:00,,,4,AM,3m= 16.85,14.804,,3m= 24.96,0,,,,
56,1,3.0m,23/06/2019,,07:00:00,,,4,AM,3m= 16.85,14.804,,3m= 24.96,3,,,,
57,1,3.0m,23/06/2019,,08:00:00,,,4,AM,3m= 16.85,14.804,,3m= 24.96,9,,,,
58,1,3.0m,23/06/2019,,09:00:00,,,4,AM,3m= 16.85,14.804,,3m= 24.96,12,,,,
59,1,3.0m,23/06/2019,,10:00:00,,,4,AM,3m= 16.85,14.709,,3m= 24.96,20,,,,
60,1,3.0m,23/06/2019,,11:00:00,,,4,AM,3m= 16.85,14.613,,3m= 24.96,19,,,,
61,1,3.0m,23/06/2019,,12:00:00,,,4,PM,3m= 16.85,14.517,,3m= 24.96,10,,,,
62,1,3.0m,23/06/2019,,13:00:00,,,4,PM,3m= 16.85,14.517,,3m= 24.96,9,,,,
63,1,3.0m,23/06/2019,,14:00:00,,,4,PM,3m= 16.85,14.517,,3m= 24.96,6,,,,
64,1,3.0m,23/06/2019,,15:00:00,,,4,PM,3m= 16.85,14.517,,3m= 24.96,3,,,,
65,1,3.0m,23/06/2019,,16:00:00,,,4,PM,3m= 16.85,14.613,,3m= 24.96,3,,,,
66,1,3.0m,23/06/2019,,17:00:00,,,4,PM,3m= 16.85,14.709,,3m= 24.96,6,,,,
67,1,3.0m,23/06/2019,,18:00:00,,,4,PM,3m= 16.85,14.804,,3m= 24.96,6,,,,
68,1,3.0m,23/06/2019,,19:00:00,,,4,PM,3m= 16.85,14.804,,3m= 24.96,5,,,,
69,1,3.0m,23/06/2019,,20:00:00,,,4,PM,3m= 16.85,14.804,,3m= 24.96,2,,,,
70,1,3.0m,23/06/2019,,21:00:00,,,4,PM,3m= 16.85,14.709,,3m= 24.96,0,,,,
71,1,3.0m,23/06/2019,,22:00:00,,,4,PM,3m= 16.85,14.613,,3m= 24.96,0,,,,
72,1,3.0m,23/06/2019,,23:00:00,,,4,PM,3m= 16.85,14.613,,3m= 24.96,0,,,,
73,1,3.0m,24/06/2019,,00:00:00,,,5,AM,3m= 16.85,14.517,,3m= 24.96,0,,,,
74,1,3.0m,24/06/2019,,01:00:00,,,5,AM,3m= 16.85,14.421,,3m= 24.96,0,,,,
75,1,3.0m,24/06/2019,,02:00:00,,,5,AM,3m= 16.85,14.421,,3m= 24.96,0,,,,
76,1,3.0m,24/06/2019,,03:00:00,,,5,AM,3m= 16.85,14.421,,3m= 24.96,0,,,,
77,1,3.0m,24/06/2019,,04:00:00,,,5,AM,3m= 16.85,14.517,,3m= 24.96,0,,,,
78,1,3.0m,24/06/2019,,05:00:00,,,5,AM,3m= 16.85,14.517,,3m= 24.96,0,,,,
79,1,3.0m,24/06/2019,,06:00:00,,,5,AM,3m= 16.85,14.709,,3m= 24.96,0,,,,
80,1,3.0m,24/06/2019,,07:00:00,,,5,AM,3m= 16.85,14.709,,3m= 24.96,4,,,,
81,1,3.0m,24/06/2019,,08:00:00,,,5,AM,3m= 16.85,14.709,,3m= 24.96,6,,,,
82,1,3.0m,24/06/2019,,09:00:00,,,5,AM,3m= 16.85,14.613,,3m= 24.96,10,,,,
83,1,3.0m,24/06/2019,,10:00:00,,,5,AM,3m= 16.85,14.517,,3m= 24.96,13,,,,
84,1,3.0m,24/06/2019,,11:00:00,,,5,AM,3m= 16.85,14.517,,3m= 24.96,26,,,,
85,1,3.0m,24/06/2019,,12:00:00,,,5,PM,3m= 16.85,14.517,,3m= 24.96,55,,,,
86,1,3.0m,24/06/2019,,13:00:00,,,5,PM,3m= 16.85,14.517,,3m= 24.96,58,,,,
87,1,3.0m,24/06/2019,,14:00:00,,,5,PM,3m= 16.85,14.517,,3m= 24.96,60,,,,
88,1,3.0m,24/06/2019,,15:00:00,,,5,PM,3m= 16.85,14.613,,3m= 24.96,44,,,,
89,1,3.0m,24/06/2019,,16:00:00,,,5,PM,3m= 16.85,14.517,,3m= 24.96,33,,,,
90,1,3.0m,24/06/2019,,17:00:00,,,5,PM,3m= 16.85,14.9,,3m= 24.96,18,,,,
91,1,3.0m,24/06/2019,,18:00:00,,,5,PM,3m= 16.85,14.996,,3m= 24.96,11,,,,
92,1,3.0m,24/06/2019,,19:00:00,,,5,PM,3m= 16.85,14.996,,3m= 24.96,5,,,,
93,1,3.0m,24/06/2019,,20:00:00,,,5,PM,3m= 16.85,14.996,,3m= 24.96,1,,,,
94,1,3.0m,24/06/2019,,21:00:00,,,5,PM,3m= 16.85,14.996,,3m= 24.96,0,,,,
95,1,3.0m,24/06/2019,,22:00:00,,,5,PM,3m= 16.85,14.996,,3m= 24.96,0,,,,
96,1,3.0m,24/06/2019,,23:00:00,,,5,PM,3m= 16.85,14.9,,3m= 24.96,0,,,,
97,1,3.0m,25/06/2019,,00:00:00,,,6,AM,3m= 16.85,14.9,,3m= 24.96,0,,,,
98,1,3.0m,25/06/2019,,01:00:00,,,6,AM,3m= 16.85,14.804,,3m= 24.96,0,,,,
99,1,3.0m,25/06/2019,,02:00:00,,,6,AM,3m= 16.85,14.804,,3m= 24.96,0,,,,
100,1,3.0m,25/06/2019,,03:00:00,,,6,AM,3m= 16.85,14.709,,3m= 24.96,0,,,,
101,1,3.0m,25/06/2019,,04:00:00,,,6,AM,3m= 16.85,14.709,,3m= 24.96,0,,,,
102,1,3.0m,25/06/2019,,05:00:00,,,6,AM,3m= 16.85,14.709,,3m= 24.96,0,,,,
103,1,3.0m,25/06/2019,,06:00:00,,,6,AM,3m= 16.85,14.804,,3m= 24.96,0,,,,
104,1,3.0m,25/06/2019,,07:00:00,,,6,AM,3m= 16.85,14.9,,3m= 24.96,4,,,,
105,1,3.0m,25/06/2019,,08:00:00,,,6,AM,3m= 16.85,14.9,,3m= 24.96,2,,,,
106,1,3.0m,25/06/2019,,09:00:00,,,6,AM,3m= 16.85,14.9,,3m= 24.96,23,,,,
107,1,3.0m,25/06/2019,,10:00:00,,,6,AM,3m= 16.85,14.9,,3m= 24.96,17,,,,
108,1,3.0m,25/06/2019,,11:00:00,,,6,AM,3m= 16.85,14.804,,3m= 24.96,19,,,,
109,1,3.0m,25/06/2019,,12:00:00,,,6,PM,3m= 16.85,14.804,,3m= 24.96,32,,,,
110,1,3.0m,25/06/2019,,13:00:00,,,6,PM,3m= 16.85,14.9,,3m= 24.96,75,,,,
111,1,3.0m,25/06/2019,,14:00:00,,,6,PM,3m= 16.85,14.996,,3m= 24.96,45,,,,
