Species,Code,Depth,Period,Days,Biomass,mass,mass_change
Laminaria hyperborea,LH_1,0.5m,T1,0,35,100,0
Laminaria ochroleuca,LO_2,0.5m,T1,0,32,100,0
Laminaria hyperborea,LH_3,0.5m,T1,0,39,100,0
Laminaria ochroleuca,LO_4,0.5m,T1,0,36,100,0
Laminaria hyperborea,LH_5,1.5m,T1,0,42,100,0
Laminaria ochroleuca,LO_6,1.5m,T1,0,37,100,0
Laminaria hyperborea,LH_7,1.5m,T1,0,32,100,0
Laminaria ochroleuca,LO_8,1.5m,T1,0,46,100,0
Laminaria hyperborea,LH_9,3m,T1,0,46,100,0
Laminaria ochroleuca,LO_10,3m,T1,0,35,100,0
Laminaria hyperborea,LH_11,3m,T1,0,41,100,0
Laminaria ochroleuca,LO_12,3m,T1,0,33,100,0
Laminaria hyperborea,LH_13,0.5m,T1,0,45,100,0
Laminaria ochroleuca,LO_14,0.5m,T1,0,34,100,0
Laminaria hyperborea,LH_15,0.5m,T1,0,54,100,0
Laminaria ochroleuca,LO_16,0.5m,T1,0,37,100,0
Laminaria hyperborea,LH_17,1.5m,T1,0,37,100,0
Laminaria ochroleuca,LO_18,1.5m,T1,0,34,100,0
Laminaria hyperborea,LH_19,1.5m,T1,0,47,100,0
Laminaria ochroleuca,LO_20,1.5m,T1,0,35,100,0
Laminaria hyperborea,LH_21,3m,T1,0,53,100,0
Laminaria ochroleuca,LO_22,3m,T1,0,37,100,0
Laminaria hyperborea,LH_23,3m,T1,0,38,100,0
Laminaria ochroleuca,LO_24,3m,T1,0,27,100,0
Laminaria hyperborea,LH_25,0.5m,T1,0,47,100,0
Laminaria ochroleuca,LO_26,0.5m,T1,0,45,100,0
Laminaria hyperborea,LH_27,0.5m,T1,0,55,100,0
Laminaria ochroleuca,LO_28,0.5m,T1,0,47,100,0
Laminaria hyperborea,LH_29,1.5m,T1,0,43,100,0
Laminaria ochroleuca,LO_30,1.5m,T1,0,23,100,0
Laminaria hyperborea,LH_31,1.5m,T1,0,52,100,0
Laminaria ochroleuca,LO_32,1.5m,T1,0,25,100,0
Laminaria hyperborea,LH_33,3m,T1,0,40,100,0
Laminaria ochroleuca,LO_34,3m,T1,0,37,100,0
Laminaria hyperborea,LH_35,3m,T1,0,53,100,0
Laminaria ochroleuca,LO_36,3m,T1,0,45,100,0
Laminaria hyperborea,LH_1,0.5m,T2,7,34,97.14285714,2.857142857
Laminaria ochroleuca,LO_2,0.5m,T2,7,34,106.25,-6.25
Laminaria hyperborea,LH_3,0.5m,T2,7,37,94.87179487,5.128205128
Laminaria ochroleuca,LO_4,0.5m,T2,7,36,100,0
Laminaria hyperborea,LH_5,1.5m,T2,7,40,95.23809524,4.761904762
Laminaria ochroleuca,LO_6,1.5m,T2,7,36,97.2972973,2.702702703
Laminaria hyperborea,LH_7,1.5m,T2,7,29,90.625,9.375
Laminaria ochroleuca,LO_8,1.5m,T2,7,48,104.3478261,-4.347826087
Laminaria hyperborea,LH_9,3m,T2,7,43,93.47826087,6.52173913
Laminaria ochroleuca,LO_10,3m,T2,7,37,105.7142857,-5.714285714
Laminaria hyperborea,LH_11,3m,T2,7,38,92.68292683,7.317073171
Laminaria ochroleuca,LO_12,3m,T2,7,33,100,0
Laminaria hyperborea,LH_13,0.5m,T2,7,46,102.2222222,-2.222222222
Laminaria ochroleuca,LO_14,0.5m,T2,7,33,97.05882353,2.941176471
Laminaria hyperborea,LH_15,0.5m,T2,7,53,98.14814815,1.851851852
Laminaria ochroleuca,LO_16,0.5m,T2,7,41,110.8108108,-10.81081081
Laminaria hyperborea,LH_17,1.5m,T2,7,36,97.2972973,2.702702703
Laminaria ochroleuca,LO_18,1.5m,T2,7,35,102.9411765,-2.941176471
Laminaria hyperborea,LH_19,1.5m,T2,7,46,97.87234043,2.127659574
Laminaria ochroleuca,LO_20,1.5m,T2,7,39,111.4285714,-11.42857143
Laminaria hyperborea,LH_21,3m,T2,7,50,94.33962264,5.660377358
Laminaria ochroleuca,LO_22,3m,T2,7,41,110.8108108,-10.81081081
Laminaria hyperborea,LH_23,3m,T2,7,37,97.36842105,2.631578947
Laminaria ochroleuca,LO_24,3m,T2,7,31,114.8148148,-14.81481481
Laminaria hyperborea,LH_25,0.5m,T2,7,48,102.1276596,-2.127659574
Laminaria ochroleuca,LO_26,0.5m,T2,7,48,106.6666667,-6.666666667
Laminaria hyperborea,LH_27,0.5m,T2,7,52,94.54545455,5.454545455
Laminaria ochroleuca,LO_28,0.5m,T2,7,51,108.5106383,-8.510638298
Laminaria hyperborea,LH_29,1.5m,T2,7,44,102.3255814,-2.325581395
Laminaria ochroleuca,LO_30,1.5m,T2,7,25,108.6956522,-8.695652174
Laminaria hyperborea,LH_31,1.5m,T2,7,47,90.38461538,9.615384615
Laminaria ochroleuca,LO_32,1.5m,T2,7,26,104,-4
Laminaria hyperborea,LH_33,3m,T2,7,40,100,0
Laminaria ochroleuca,LO_34,3m,T2,7,39,105.4054054,-5.405405405
Laminaria hyperborea,LH_35,3m,T2,7,48,90.56603774,9.433962264
Laminaria ochroleuca,LO_36,3m,T2,7,48,106.6666667,-6.666666667
Laminaria hyperborea,LH_1,0.5m,T3,12,35,100,0
Laminaria ochroleuca,LO_2,0.5m,T3,12,36,112.5,-12.5
Laminaria hyperborea,LH_3,0.5m,T3,12,37,94.87179487,5.128205128
Laminaria ochroleuca,LO_4,0.5m,T3,12,41,113.8888889,-13.88888889
Laminaria hyperborea,LH_5,1.5m,T3,12,42,100,0
Laminaria ochroleuca,LO_6,1.5m,T3,12,48,129.7297297,-29.72972973
Laminaria hyperborea,LH_7,1.5m,T3,12,33,103.125,-3.125
Laminaria ochroleuca,LO_8,1.5m,T3,12,53,115.2173913,-15.2173913
Laminaria hyperborea,LH_9,3m,T3,12,45,97.82608696,2.173913043
Laminaria ochroleuca,LO_10,3m,T3,12,38,108.5714286,-8.571428571
